tip_label,img_path
Forcipiger_longirostris,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Forcipiger_longirostris/Forcipiger_longirostris_FishBase_Folon_u1.png
Forcipiger_wanai_JRH86,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/oriented/Forcipiger_wanai/Forcipiger_wanai_FishBase_Fowan_u0.png
Hemitaurichthys_polylepis_PW3095,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Hemitaurichthys_polylepis/Hemitaurichthys_polylepis_FishBase_Hepol_u2.png
Hemitaurichthys_thompsoni_PW5537,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/oriented/Hemitaurichthys_thompsoni/Hemitaurichthys_thompsoni_FishBase_Hetho_u0.png
Hemitaurichthys_zoster_PW4855,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/oriented/Hemitaurichthys_zoster/Hemitaurichthys_zoster_FishBase_Hezos_u3.png
Heniochus_acuminatus_PW4560,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Heniochus_acuminatus/Heniochus_acuminatus_FishBase_Heacu_u2.png
Heniochus_chrysostomus_PW2923,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Heniochus_chrysostomus/Heniochus_chrysostomus_FishBase_Hechr_u0.png
Heniochus_diphreutes_HDP01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Heniochus_diphreutes/Heniochus_diphreutes_FishBase_Hedip_u5.png
Heniochus_intermedius_HIN02,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Heniochus_intermedius/Heniochus_intermedius_FishBase_Heint_u1.png
Heniochus_monoceros_PW3173,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Heniochus_monoceros/Heniochus_monoceros_FishBase_Hemon_u2.png
Heniochus_pleurotaenia_HPR01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Heniochus_pleurotaenia/Heniochus_pleurotaenia_FishBase_Heple_u0.png
Heniochus_singularius_HSI01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Heniochus_singularius/Heniochus_singularius_FishBase_Hesin_u1.png
Heniochus_varius_PW2921,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/oriented/Heniochus_varius/Heniochus_varius_FishBase_Hevar_u0.png
Johnrandallia_nigrirostris_PW4857,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/oriented/Johnrandallia_nigrirostris/Johnrandallia_nigrirostris_FishBase_Jonig_u2.png
Parachaetodon_ocellatus_PW1643,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Parachaetodon_ocellatus/Parachaetodon_ocellatus_FishBase_Paoce_u3.png
Prognathodes_aculeatus_PW648,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/oriented/Prognathodes_aculeatus/Prognathodes_aculeatus_FishBase_Pracu_u0.png
Prognathodes_aya_PW1045,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/oriented/Prognathodes_aya/Prognathodes_aya_FishBase_Praya_u0.png
Prognathodes_brasiliensis_PW3997,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Prognathodes_brasiliensis/Prognathodes_brasiliensis_FishBase_Prbra_u1.png
Prognathodes_dichrous_PDH01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/oriented/Prognathodes_dichrous/Prognathodes_dichrous_FishBase_Prdic_u0.png
Prognathodes_obliquus_POQ02,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Prognathodes_obliquus/Prognathodes_obliquus_FishBase_Chobl_u1.png
Roa_excelsa_ROAsp_02,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Roa_excelsa/Roa_excelsa_FishBase_Chexc_u0.png
Roa_haraguchiae_KAUM35795,NA
Roa_jayakari_JDD98,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Roa_jayakari/Roa_jayakari_FishBase_Chjay_u0.png
Roa_modestua_CMO01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Roa_modesta/Roa_modesta_FishBase_Chmod_u1.png
chaetodon_trifascialis,NA
chaetodon_trifasciatus,NA
