tip_label,img_path,img_path_2,img_path_3
Hemitaurichthys_zoster_PW4855,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Hemitaurichthys_zoster_Bishop_1598828141.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Hemitaurichthys_zoster_iNaturalist_15934136.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Hemitaurichthys_zoster_FishPix_12049AF.jpg
Heniochus_acuminatus_PW4560,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Heniochus_acuminatus_Bishop_1817843498.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Heniochus_acuminatus_iNaturalist_20970094.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Heniochus_acuminatus_FishPix_54009AF.jpg
Heniochus_chrysostomus_PW2923,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Heniochus_chrysostomus_Bishop_1854375753.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Heniochus_chrysostomus_iNaturalist_170510325.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Heniochus_chrysostomus_FishPix_15259AF.jpg
Heniochus_diphreutes_HDP01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Heniochus_diphreutes_Bishop_1453219286.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Heniochus_diphreutes_iNaturalist_178100777.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Heniochus_diphreutes_FishPix_11583AF.jpg
Heniochus_intermedius_HIN02,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Heniochus_intermedius_Bishop_-20578450.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Heniochus_intermedius_iNaturalist_190615451.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Heniochus_intermedius_FishPix_141059AF.jpg
Heniochus_monoceros_PW3173,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Heniochus_monoceros_Bishop_-980348940.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Heniochus_monoceros_iNaturalist_14722046.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Heniochus_monoceros_FishPix_25451AF.jpg
Heniochus_pleurotaenia_HPR01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Heniochus_pleurotaenia_Bishop_-1006778558.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Heniochus_pleurotaenia_iNaturalist_197005693.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Heniochus_pleurotaenia_FishBase_Heple_u2.jpg
Heniochus_singularius_HSI01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Heniochus_singularius_Bishop_1959970624.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Heniochus_singularius_iNaturalist_19670206.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Heniochus_singularius_FishBase_Hesin_u1.jpg
Heniochus_varius_PW2921,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Heniochus_varius_Bishop_2014348865.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Heniochus_varius_iNaturalist_294238984.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Heniochus_varius_FishPix_15993AF.jpg
Johnrandallia_nigrirostris_PW4857,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Johnrandallia_nigrirostris_iNaturalist_140802403.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Johnrandallia_nigrirostris_FishBase_Jonig_u1.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_fishbase_extra/Johnrandallia_nigrirostris_FishBase_Jonig_u0.jpg
Parachaetodon_ocellatus_PW1643,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Parachaetodon_ocellatus_Bishop_-154342580.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Parachaetodon_ocellatus_iNaturalist_101338050.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Parachaetodon_ocellatus_FishBase_Paoce_u0.jpg
