filename,species,source,rotation_deg,flipped_horizontal,method,confidence,reference_image,needs_review
Chaetodon_collare_iNaturalist_199056448.jpg,Chaetodon collare,inaturalist,11.8,no,template_uncertain,0.062,Chaetodon_collare_Bishop_1403678122.jpg,yes
Chaetodon_collare_iNaturalist_249083569.jpg,Chaetodon collare,inaturalist,10.7,no,template_uncertain,0.08,Chaetodon_collare_Bishop_1403678122.jpg,yes
Chaetodon_collare_iNaturalist_249083606.jpg,Chaetodon collare,inaturalist,0.0,no,template_uncertain,0.0941,Chaetodon_collare_Bishop_1403678122.jpg,yes
Chaetodon_collare_iNaturalist_332653503.jpg,Chaetodon collare,inaturalist,-11.7,no,template_uncertain,0.066,Chaetodon_collare_Bishop_1403678122.jpg,yes
Chaetodon_decussatus_iNaturalist_270162452.jpg,Chaetodon decussatus,inaturalist,13.5,no,template_uncertain,0.0652,Chaetodon_decussatus_Bishop_527122207.jpg,yes
Chaetodon_decussatus_iNaturalist_447360473.jpg,Chaetodon decussatus,inaturalist,-5.0,no,template_uncertain,0.0612,Chaetodon_decussatus_Bishop_527122207.jpg,yes
Chaetodon_decussatus_iNaturalist_451789851.jpg,Chaetodon decussatus,inaturalist,3.2,no,template_uncertain,0.0513,Chaetodon_decussatus_Bishop_527122207.jpg,yes
Chaetodon_dialeucos_iNaturalist_33142997.jpg,Chaetodon dialeucos,inaturalist,-15.6,no,template_uncertain,0.1035,Chaetodon_dialeucos_Bishop_1297085044.jpg,yes
Chaetodon_dolosus_iNaturalist_15539185.jpg,Chaetodon dolosus,inaturalist,-8.7,no,template_uncertain,0.073,Chaetodon_dolosus_Bishop_-1008609691.jpg,yes
Chaetodon_dolosus_iNaturalist_236027673.jpg,Chaetodon dolosus,inaturalist,-5.5,no,template_uncertain,0.0879,Chaetodon_dolosus_Bishop_-1008609691.jpg,yes
Chaetodon_dolosus_iNaturalist_343070907.jpg,Chaetodon dolosus,inaturalist,-18.1,no,template_uncertain,0.0853,Chaetodon_dolosus_Bishop_-1008609691.jpg,yes
Chaetodon_dolosus_iNaturalist_349460578.jpg,Chaetodon dolosus,inaturalist,12.3,no,template_uncertain,0.0657,Chaetodon_dolosus_Bishop_-1008609691.jpg,yes
Chaetodon_ephippium_iNaturalist_330181464.jpg,Chaetodon ephippium,inaturalist,12.5,no,template_uncertain,0.0583,Chaetodon_ephippium_Bishop_-1248760382.jpg,yes
Chaetodon_fasciatus_FishBase_Chfas_u0.jpg,Chaetodon fasciatus,fishbase,16.8,no,trusted_flagged,0.2365,Chaetodon_fasciatus_Bishop_-1886056978.jpg,yes
Chaetodon_fasciatus_iNaturalist_174967542.jpg,Chaetodon fasciatus,inaturalist,-15.8,no,template_uncertain,0.0816,Chaetodon_fasciatus_Bishop_-1886056978.jpg,yes
Chaetodon_flavirostris_iNaturalist_5950939.jpg,Chaetodon flavirostris,inaturalist,-6.9,no,template_uncertain,0.1051,Chaetodon_flavirostris_Bishop_1864146380.jpg,yes
Chaetodon_flavocoronatus_iNaturalist_598921705.jpg,Chaetodon flavocoronatus,inaturalist,-4.2,no,template_uncertain,0.1124,Chaetodon_flavocoronatus_Bishop_-1261632291.jpg,yes
Chaetodon_fremblii_iNaturalist_168295733.jpg,Chaetodon fremblii,inaturalist,0.0,no,template_uncertain,0.0806,Chaetodon_fremblii_Bishop_5130835.jpg,yes
Chaetodon_fremblii_iNaturalist_598700060.jpg,Chaetodon fremblii,inaturalist,-10.4,no,template_uncertain,0.0996,Chaetodon_fremblii_Bishop_5130835.jpg,yes
Chaetodon_guentheri_iNaturalist_17952429.jpg,Chaetodon guentheri,inaturalist,0.0,no,template_uncertain,0.1214,Chaetodon_guentheri_Bishop_-184146759.jpg,yes
Chaetodon_guentheri_iNaturalist_19964900.jpg,Chaetodon guentheri,inaturalist,-12.2,no,template_uncertain,0.1184,Chaetodon_guentheri_Bishop_-184146759.jpg,yes
Chaetodon_guttatissimus_iNaturalist_380299825.jpg,Chaetodon guttatissimus,inaturalist,-6.8,no,template_uncertain,0.0888,Chaetodon_guttatissimus_Bishop_-1623433841.jpg,yes
Chaetodon_guttatissimus_iNaturalist_473229926.jpg,Chaetodon guttatissimus,inaturalist,16.0,no,template_uncertain,0.0571,Chaetodon_guttatissimus_Bishop_-1623433841.jpg,yes
Chaetodon_guttatissimus_iNaturalist_474997418.jpg,Chaetodon guttatissimus,inaturalist,-16.0,no,template_uncertain,0.1119,Chaetodon_guttatissimus_Bishop_-1623433841.jpg,yes
Chaetodon_hoefleri_iNaturalist_349923953.jpg,Chaetodon hoefleri,inaturalist,9.0,no,template_uncertain,0.0604,Chaetodon_hoefleri_FishBase_Chhoe_u0.jpg,yes
Chaetodon_hoefleri_iNaturalist_349923955.jpg,Chaetodon hoefleri,inaturalist,-12.7,no,template_uncertain,0.0812,Chaetodon_hoefleri_FishBase_Chhoe_u0.jpg,yes
Chaetodon_interruptus_iNaturalist_479599038.jpg,Chaetodon interruptus,inaturalist,0.0,no,template_uncertain,0.0735,Chaetodon_interruptus_FishBase_Chuni_u2.jpg,yes
Chaetodon_interruptus_iNaturalist_82279627.jpg,Chaetodon interruptus,inaturalist,3.5,no,template_uncertain,0.0921,Chaetodon_interruptus_FishBase_Chuni_u2.jpg,yes
Chaetodon_kleinii_iNaturalist_336546534.jpg,Chaetodon kleinii,inaturalist,-9.5,no,template_uncertain,0.0628,Chaetodon_kleinii_Bishop_-1577854379.jpg,yes
Chaetodon_kleinii_iNaturalist_338353090.jpg,Chaetodon kleinii,inaturalist,0.0,no,template_uncertain,0.1043,Chaetodon_kleinii_Bishop_-1577854379.jpg,yes
Chaetodon_kleinii_iNaturalist_338353091.jpg,Chaetodon kleinii,inaturalist,-4.8,no,template_uncertain,0.1053,Chaetodon_kleinii_Bishop_-1577854379.jpg,yes
Chaetodon_kleinii_iNaturalist_97428922.jpg,Chaetodon kleinii,inaturalist,-12.8,no,template_uncertain,0.0888,Chaetodon_kleinii_Bishop_-1577854379.jpg,yes
Chaetodon_larvatus_FishPix_85092AF.jpg,Chaetodon larvatus,fishpix,0.0,no,trusted_flagged,0.252,Chaetodon_larvatus_Bishop_1783626891.jpg,yes
Chaetodon_larvatus_FishBase_Chlar_u3.jpg,Chaetodon larvatus,fishbase,0.0,no,trusted_flagged,0.2503,Chaetodon_larvatus_Bishop_1783626891.jpg,yes
Chaetodon_larvatus_iNaturalist_183943928.jpg,Chaetodon larvatus,inaturalist,0.0,no,template_uncertain,0.1418,Chaetodon_larvatus_Bishop_1783626891.jpg,yes
Chaetodon_leucopleura_iNaturalist_75611947.jpg,Chaetodon leucopleura,inaturalist,-17.2,no,template_uncertain,0.1017,Chaetodon_leucopleura_Bishop_951338608.jpg,yes
Chaetodon_lineolatus_FishBase_Chlin_ul.jpg,Chaetodon lineolatus,fishbase,0.0,no,trusted_flagged,0.2028,Chaetodon_lineolatus_Bishop_1526268337.jpg,yes
Chaetodon_lineolatus_iNaturalist_474229198.jpg,Chaetodon lineolatus,inaturalist,5.4,no,template_uncertain,0.0577,Chaetodon_lineolatus_Bishop_1526268337.jpg,yes
Chaetodon_lineolatus_iNaturalist_474229225.jpg,Chaetodon lineolatus,inaturalist,-3.1,no,template_uncertain,0.1465,Chaetodon_lineolatus_Bishop_1526268337.jpg,yes
Chaetodon_lineolatus_iNaturalist_9952627.jpg,Chaetodon lineolatus,inaturalist,0.0,no,template_uncertain,0.134,Chaetodon_lineolatus_Bishop_1526268337.jpg,yes
Chaetodon_litus_iNaturalist_13840264.jpg,Chaetodon litus,inaturalist,-11.3,no,template_uncertain,0.1272,Chaetodon_litus_Bishop_1983788749.jpg,yes
