species,fishbase_file,bishop_file,is_duplicate,reviewed_at,notes
Chaetodon collare,Chaetodon_collare_FishBase_Chcol_u3.jpg,Chaetodon_collare_Bishop_1403678122.jpg,no,2026-02-05T12:36:20.109664,
Chaetodon collare,Chaetodon_collare_FishBase_Chcol_u2.jpg,Chaetodon_collare_Bishop_1999007469.jpg,no,2026-02-05T12:36:53.767935,
Chaetodon daedalma,Chaetodon_daedalma_FishBase_Chdae_u1.jpg,Chaetodon_daedalma_Bishop_1811677923.jpg,yes,2026-02-05T12:24:27.340801,
Chaetodon declivis,Chaetodon_declivis_FishBase_Chdec_u2.jpg,Chaetodon_declivis_Bishop_-274435096.jpg,yes,2026-02-05T12:24:45.969543,
Chaetodon declivis,Chaetodon_declivis_FishBase_Chdec_u1.jpg,Chaetodon_declivis_Bishop_-405463978.jpg,yes,2026-02-05T12:24:56.011650,
Chaetodon declivis,Chaetodon_declivis_FishBase_Chdec_u3.jpg,Chaetodon_declivis_Bishop_1376440265.jpg,yes,2026-02-05T12:25:10.194168,
Chaetodon decussatus,Chaetodon_decussatus_FishBase_Chdec_u4.jpg,Chaetodon_decussatus_Bishop_527122207.jpg,yes,2026-02-05T12:22:49.759334,
Chaetodon dialeucos,Chaetodon_dialeucos_FishBase_Chdia_u0.jpg,Chaetodon_dialeucos_Bishop_1297085044.jpg,yes,2026-02-05T12:23:52.928511,
Chaetodon dolosus,Chaetodon_dolosus_FishBase_Chdol_u1.jpg,Chaetodon_dolosus_Bishop_-1008609691.jpg,yes,2026-02-05T12:23:53.785526,
Chaetodon ephippium,Chaetodon_ephippium_FishBase_Cheph_u5.jpg,Chaetodon_ephippium_Bishop_-1248760382.jpg,yes,2026-02-05T12:23:54.735004,
Chaetodon ephippium,Chaetodon_ephippium_FishBase_Cheph_u3.jpg,Chaetodon_ephippium_Bishop_-1179871461.jpg,yes,2026-02-05T12:25:11.681137,
Chaetodon falcula,Chaetodon_falcula_FishBase_Chfal_u1.jpg,Chaetodon_falcula_Bishop_1821335233.jpg,yes,2026-02-05T12:23:55.480572,
