species,fishbase_file,bishop_file,phash_distance,dhash_distance,min_distance,confidence
Chaetodon argentatus,Chaetodon_argentatus_FishBase_Charg_u1.jpg,Chaetodon_argentatus_Bishop_1101542975.jpg,3,14,3,high
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u1.jpg,Chaetodon_citrinellus_Bishop_-1191499504.jpg,6,3,3,high
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u3.jpg,Chaetodon_citrinellus_Bishop_-1736280642.jpg,3,6,3,high
Chaetodon declivis,Chaetodon_declivis_FishBase_Chdec_u2.jpg,Chaetodon_declivis_Bishop_-274435096.jpg,3,9,3,high
Chaetodon declivis,Chaetodon_declivis_FishBase_Chdec_u1.jpg,Chaetodon_declivis_Bishop_-405463978.jpg,3,9,3,high
Chaetodon kleinii,Chaetodon_kleinii_FishBase_Chkle_u2.jpg,Chaetodon_kleinii_Bishop_308997156.jpg,3,4,3,high
Chaetodon lunula,Chaetodon_lunula_FishBase_Chlun_u8.jpg,Chaetodon_lunula_Bishop_2036473160.jpg,3,11,3,high
Chaetodon lunulatus,Chaetodon_lunulatus_FishBase_Chlun_ub.jpg,Chaetodon_lunulatus_Bishop_1113667583.jpg,3,15,3,high
Chaetodon melannotus,Chaetodon_melannotus_FishBase_Chmel_u8.jpg,Chaetodon_melannotus_Bishop_-1381464288.jpg,3,32,3,high
Chaetodon paucifasciatus,Chaetodon_paucifasciatus_FishBase_Chpau_u1.jpg,Chaetodon_paucifasciatus_Bishop_-1576082838.jpg,3,5,3,high
Chaetodon reticulatus,Chaetodon_reticulatus_FishBase_Chret_u4.jpg,Chaetodon_reticulatus_Bishop_-2063111040.jpg,3,4,3,high
Chaetodon semeion,Chaetodon_semeion_FishBase_Chsem_u3.jpg,Chaetodon_semeion_Bishop_-1205919593.jpg,3,6,3,high
Chaetodon smithi,Chaetodon_smithi_FishBase_Chsmi_u0.jpg,Chaetodon_smithi_Bishop_-756583267.jpg,3,4,3,high
Chaetodon ulietensis,Chaetodon_ulietensis_FishBase_Chuli_u2.jpg,Chaetodon_ulietensis_Bishop_-1430510223.jpg,3,21,3,high
Forcipiger flavissimus,Forcipiger_flavissimus_FishBase_Fofla_u3.jpg,Forcipiger_flavissimus_Bishop_-1548318421.jpg,3,56,3,high
Forcipiger longirostris,Forcipiger_longirostris_FishBase_Folon_u1.jpg,Forcipiger_longirostris_Bishop_2122975038.jpg,3,10,3,high
Hemitaurichthys polylepis,Hemitaurichthys_polylepis_FishBase_Hepol_u2.jpg,Hemitaurichthys_polylepis_Bishop_224753564.jpg,3,6,3,high
Parachaetodon ocellatus,Parachaetodon_ocellatus_FishBase_Paoce_u3.jpg,Parachaetodon_ocellatus_Bishop_-506807721.jpg,3,3,3,high
Chaetodon auriga,Chaetodon_auriga_FishBase_Chaur_ua.jpg,Chaetodon_auriga_Bishop_1988149751.jpg,4,33,4,high
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_u0.jpg,Chaetodon_blackburnii_Bishop_-410407509.jpg,4,36,4,high
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_f0.jpg,Chaetodon_blackburnii_Bishop_300609141.jpg,4,37,4,high
Chaetodon declivis,Chaetodon_declivis_FishBase_Chdec_u3.jpg,Chaetodon_declivis_Bishop_1376440265.jpg,4,9,4,high
Chaetodon ephippium,Chaetodon_ephippium_FishBase_Cheph_u3.jpg,Chaetodon_ephippium_Bishop_-1179871461.jpg,4,7,4,high
Chaetodon lunula,Chaetodon_lunula_FishBase_Chlun_u6.jpg,Chaetodon_lunula_Bishop_543936522.jpg,4,7,4,high
Chaetodon ornatissimus,Chaetodon_ornatissimus_FishBase_Chorn_u2.jpg,Chaetodon_ornatissimus_Bishop_553414317.jpg,5,4,4,high
Chaetodon semeion,Chaetodon_semeion_FishBase_Chsem_u3.jpg,Chaetodon_semeion_Bishop_238560942.jpg,4,74,4,high
Chaetodon xanthurus,Chaetodon_xanthurus_FishBase_Chxan_u6.jpg,Chaetodon_xanthurus_Bishop_-858508951.jpg,4,32,4,high
Coradion chrysozonus,Coradion_chrysozonus_FishBase_Cochr_u3.jpg,Coradion_chrysozonus_Bishop_28243640.jpg,4,15,4,high
Coradion melanopus,Coradion_melanopus_FishBase_Comel_u0.jpg,Coradion_melanopus_Bishop_726040623.jpg,4,46,4,high
Coradion melanopus,Coradion_melanopus_FishBase_Comel_u1.jpg,Coradion_melanopus_Bishop_-1537131019.jpg,4,46,4,high
Forcipiger flavissimus,Forcipiger_flavissimus_FishBase_Fofla_u4.jpg,Forcipiger_flavissimus_Bishop_-1224605166.jpg,4,52,4,high
Chaetodon auriga,Chaetodon_auriga_FishBase_Chaur_u5.jpg,Chaetodon_auriga_Bishop_-2122348146.jpg,5,6,5,high
Chaetodon auriga,Chaetodon_auriga_FishBase_Chaur_u8.jpg,Chaetodon_auriga_Bishop_-2122348146.jpg,5,52,5,high
Chaetodon auriga,Chaetodon_auriga_FishBase_Chaur_ua.jpg,Chaetodon_auriga_Bishop_843681634.jpg,5,78,5,high
Chaetodon baronessa,Chaetodon_baronessa_FishBase_Chbar_u4.jpg,Chaetodon_baronessa_Bishop_601798515.jpg,5,7,5,high
Chaetodon flavocoronatus,Chaetodon_flavocoronatus_FishBase_Chfla_u5.jpg,Chaetodon_flavocoronatus_Bishop_-1599575846.jpg,5,48,5,high
Chaetodon semilarvatus,Chaetodon_semilarvatus_FishBase_Chsem_u2.jpg,Chaetodon_semilarvatus_Bishop_-947886964.jpg,6,5,5,high
Chaetodon tinkeri,Chaetodon_tinkeri_FishBase_Chtin_u1.jpg,Chaetodon_tinkeri_Bishop_-1989865351.jpg,5,9,5,high
Chaetodon ulietensis,Chaetodon_ulietensis_FishBase_Chuli_u1.jpg,Chaetodon_ulietensis_Bishop_-1430510223.jpg,5,66,5,high
Chelmon rostratus,Chelmon_rostratus_FishBase_Chros_u5.jpg,Chelmon_rostratus_Bishop_-1630595999.jpg,5,9,5,high
Coradion melanopus,Coradion_melanopus_FishBase_Comel_u1.jpg,Coradion_melanopus_Bishop_1397670468.jpg,5,46,5,high
Chaetodon auripes,Chaetodon_auripes_FishBase_Chaur_uc.jpg,Chaetodon_auripes_Bishop_1839596140.jpg,6,38,6,medium
Chaetodon melannotus,Chaetodon_melannotus_FishBase_Chmel_u7.jpg,Chaetodon_melannotus_Bishop_-1126507013.jpg,6,25,6,medium
Chaetodon mertensii,Chaetodon_mertensii_FishBase_Chmer_u4.jpg,Chaetodon_mertensii_Bishop_-727881428.jpg,6,67,6,medium
Chaetodon plebeius,Chaetodon_plebeius_FishBase_Chple_u5.jpg,Chaetodon_plebeius_Bishop_-243381367.jpg,6,70,6,medium
Chaetodon smithi,Chaetodon_smithi_FishBase_Chsmi_u3.jpg,Chaetodon_smithi_Bishop_-1166721005.jpg,6,13,6,medium
Chelmon rostratus,Chelmon_rostratus_FishBase_Chros_u4.jpg,Chelmon_rostratus_Bishop_-1630595999.jpg,6,46,6,medium
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u4.jpg,Chaetodon_citrinellus_Bishop_1043818087.jpg,7,7,7,medium
Chaetodon semeion,Chaetodon_semeion_FishBase_Chsem_u0.jpg,Chaetodon_semeion_Bishop_-1205919593.jpg,7,71,7,medium
Chaetodon smithi,Chaetodon_smithi_FishBase_Chsmi_u0.jpg,Chaetodon_smithi_Bishop_-608924262.jpg,7,56,7,medium
Chaetodon tricinctus,Chaetodon_tricinctus_FishBase_Chtri_u5.jpg,Chaetodon_tricinctus_Bishop_28770837.jpg,7,50,7,medium
Chelmon rostratus,Chelmon_rostratus_FishBase_Chros_u5.jpg,Chelmon_rostratus_Bishop_-1060273696.jpg,7,49,7,medium
Heniochus monoceros,Heniochus_monoceros_FishBase_Hemon_u2.jpg,Heniochus_monoceros_Bishop_1205143013.jpg,7,56,7,medium
Chaetodon flavocoronatus,Chaetodon_flavocoronatus_FishBase_Chfla_u4.jpg,Chaetodon_flavocoronatus_Bishop_-1261632291.jpg,8,51,8,medium
Chaetodon lunula,Chaetodon_lunula_FishBase_Chlun_u8.jpg,Chaetodon_lunula_Bishop_-530805309.jpg,8,53,8,medium
Chaetodon melannotus,Chaetodon_melannotus_FishBase_Chmel_u7.jpg,Chaetodon_melannotus_Bishop_-1689715678.jpg,8,60,8,medium
Chaetodon mertensii,Chaetodon_mertensii_FishBase_Chmer_u4.jpg,Chaetodon_mertensii_Bishop_2125964090.jpg,8,59,8,medium
Chaetodon plebeius,Chaetodon_plebeius_FishBase_Chple_u5.jpg,Chaetodon_plebeius_Bishop_-113106721.jpg,8,57,8,medium
Chaetodon rafflesii,Chaetodon_rafflesii_FishBase_Chraf_u3.jpg,Chaetodon_rafflesii_Bishop_-779601278.jpg,8,37,8,medium
Chaetodon smithi,Chaetodon_smithi_FishBase_Chsmi_u0.jpg,Chaetodon_smithi_Bishop_-1166721005.jpg,8,54,8,medium
Chaetodon ulietensis,Chaetodon_ulietensis_FishBase_Chuli_u2.jpg,Chaetodon_ulietensis_Bishop_-201975074.jpg,8,60,8,medium
Chelmon marginalis,Chelmon_marginalis_FishBase_Chmar_u4.jpg,Chelmon_marginalis_Bishop_-1899628097.jpg,8,47,8,medium
Heniochus monoceros,Heniochus_monoceros_FishBase_Hemon_u4.jpg,Heniochus_monoceros_Bishop_1235534495.jpg,8,57,8,medium
Parachaetodon ocellatus,Parachaetodon_ocellatus_FishBase_Paoce_j0.jpg,Parachaetodon_ocellatus_Bishop_-731143075.jpg,8,47,8,medium
Chaetodon auriga,Chaetodon_auriga_FishBase_Chaur_ua.jpg,Chaetodon_auriga_Bishop_415255648.jpg,9,96,9,medium
