filename,species,directory,mean_L,mean_a,mean_b,std_L,std_a,std_b,distance,distance_method,species_n_images,distance_zscore,flag_color_outlier,flag_small_mask,flag_large_mask,flag_luminance,n_flags,suggested_action
Chaetodon_andamanensis_iNaturalist_68351989.jpg,Chaetodon andamanensis,images_inaturalist,81.46,-12.72,73.3,13.44,4.3,19.45,2.374,mahalanobis,12,0.16,no,no,no,no,0,ok
Chaetodon_argentatus_FishPix_2068AF.jpg,Chaetodon argentatus,images,60.77,3.56,-2.89,29.62,2.88,5.28,2.18,mahalanobis,16,-0.204,no,no,no,no,0,ok
Chaetodon_argentatus_Bishop_1074668308.jpg,Chaetodon argentatus,images_bishop,53.35,-4.76,7.96,33.83,2.98,6.65,2.009,mahalanobis,16,-0.498,no,no,no,no,0,ok
Chaetodon_argentatus_FishBase_Charg_u0.jpg,Chaetodon argentatus,images_fishbase_extra,36.78,2.1,12.44,25.32,4.8,13.55,2.437,mahalanobis,16,0.236,no,no,no,no,0,ok
Chaetodon_argentatus_FishBase_Charg_u2.jpg,Chaetodon argentatus,images_fishbase_extra,53.59,-4.73,7.95,34.48,3.28,6.97,1.97,mahalanobis,16,-0.564,no,no,no,no,0,ok
Chaetodon_argentatus_FishBase_Charg_u3.jpg,Chaetodon argentatus,images_fishbase_extra,46.06,-14.68,17.65,33.55,9.1,12.41,2.807,mahalanobis,16,0.872,no,no,no,no,0,ok
Chaetodon_argentatus_FishBase_Charg_ua.jpg,Chaetodon argentatus,images_fishbase_extra,55.57,-3.54,7.42,31.25,5.82,8.33,1.521,mahalanobis,16,-1.335,no,no,no,no,0,ok
Chaetodon_argentatus_iNaturalist_263052559.jpg,Chaetodon argentatus,images_inaturalist,52.32,-12.98,-21.52,25.64,10.85,4.89,3.117,mahalanobis,16,1.404,no,no,no,no,0,ok
Chaetodon_argentatus_iNaturalist_263052573.jpg,Chaetodon argentatus,images_inaturalist,64.75,-18.68,-18.62,19.13,8.37,8.25,3.145,mahalanobis,16,1.452,no,no,no,no,0,ok
Chaetodon_argentatus_iNaturalist_302749246.jpg,Chaetodon argentatus,images_inaturalist,44.83,-3.34,2.03,14.46,2.4,4.04,3.139,mahalanobis,16,1.441,no,yes,no,no,1,review
Chaetodon_argentatus_iNaturalist_304051728.jpg,Chaetodon argentatus,images_inaturalist,35.47,1.38,-25.37,25.88,6.66,8.27,2.765,mahalanobis,16,0.8,no,yes,no,no,1,review
Chaetodon_argentatus_iNaturalist_331807669.jpg,Chaetodon argentatus,images_inaturalist,49.23,-6.62,3.45,23.25,2.85,8.18,2.069,mahalanobis,16,-0.394,no,no,no,no,0,ok
Chaetodon_argentatus_iNaturalist_576759039.jpg,Chaetodon argentatus,images_inaturalist,52.04,0.97,-15.67,23.49,4.46,8.6,1.694,mahalanobis,16,-1.039,no,no,no,no,0,ok
Chaetodon_argentatus_iNaturalist_59002230.jpg,Chaetodon argentatus,images_inaturalist,42.35,5.16,-15.32,24.79,7.63,13.33,2.597,mahalanobis,16,0.511,no,no,no,no,0,ok
Chaetodon_argentatus_iNaturalist_605150779.jpg,Chaetodon argentatus,images_inaturalist,59.1,1.05,-2.43,18.62,3.15,6.0,2.238,mahalanobis,16,-0.105,no,no,no,no,0,ok
Chaetodon_argentatus_iNaturalist_83513611.jpg,Chaetodon argentatus,images_inaturalist,68.34,-9.44,1.9,28.32,5.88,7.29,1.995,mahalanobis,16,-0.521,no,no,no,no,0,ok
Chaetodon_argentatus_iNaturalist_83513716.jpg,Chaetodon argentatus,images_inaturalist,46.49,-0.68,2.61,31.28,5.7,9.67,1.102,mahalanobis,16,-2.055,no,no,yes,no,1,review
Chaetodon_assarius_FishBase_Chass_u0.jpg,Chaetodon assarius,images,72.97,2.18,23.59,22.64,6.93,16.52,2.134,mahalanobis,11,-0.506,no,no,no,no,0,ok
Chaetodon_assarius_iNaturalist_151182609.jpg,Chaetodon assarius,images_inaturalist,43.95,-13.57,25.49,14.16,6.79,9.73,2.214,mahalanobis,11,-0.277,no,no,no,no,0,ok
Chaetodon_assarius_iNaturalist_176862632.jpg,Chaetodon assarius,images_inaturalist,45.95,2.44,6.19,21.15,3.91,13.43,2.376,mahalanobis,11,0.191,no,no,no,no,0,ok
Chaetodon_assarius_iNaturalist_258921023.jpg,Chaetodon assarius,images_inaturalist,68.7,-34.47,7.22,7.66,2.96,4.99,2.547,mahalanobis,11,0.683,no,yes,no,no,1,review
Chaetodon_assarius_iNaturalist_291017904.jpg,Chaetodon assarius,images_inaturalist,48.57,-5.88,0.29,7.54,2.23,4.99,2.58,mahalanobis,11,0.779,no,no,no,no,0,ok
Chaetodon_assarius_iNaturalist_299428954.jpg,Chaetodon assarius,images_inaturalist,67.15,-13.19,2.22,12.94,4.33,8.96,1.48,mahalanobis,11,-2.392,no,yes,no,no,1,review
Chaetodon_assarius_iNaturalist_310339741.jpg,Chaetodon assarius,images_inaturalist,43.11,-12.65,-2.1,13.55,11.87,9.56,2.442,mahalanobis,11,0.382,no,yes,no,no,1,review
Chaetodon_assarius_iNaturalist_477274770.jpg,Chaetodon assarius,images_inaturalist,62.4,7.95,15.52,16.55,12.6,14.89,2.568,mahalanobis,11,0.745,no,no,yes,no,1,review
Chaetodon_assarius_iNaturalist_484163082.jpg,Chaetodon assarius,images_inaturalist,34.59,-3.75,-19.24,11.97,7.34,5.66,2.065,mahalanobis,11,-0.704,no,no,no,no,0,ok
Chaetodon_assarius_iNaturalist_599485831.jpg,Chaetodon assarius,images_inaturalist,69.15,7.43,-4.41,19.46,16.09,12.66,2.85,mahalanobis,11,1.559,no,no,no,no,0,ok
