filename,species,directory,n_components,largest_component_frac,fragmentation_score,compactness,solidity,margin_bleed_frac,mask_fraction,species_median_mask_frac,mask_frac_ratio,center_offset,convex_hull_area,quality_score,flag_fragmented,flag_bg_inclusion,flag_small_mask,flag_margin_bleed,n_flags,recommended_action
Chaetodon_argentatus_iNaturalist_331807669.jpg,Chaetodon argentatus,images_inaturalist,1,1.0,0.0,0.5508,0.8771,0.0,0.1163,0.2263,0.5139,0.038,103769,0.9467,no,no,no,no,0,ok
Chaetodon_argentatus_iNaturalist_576759039.jpg,Chaetodon argentatus,images_inaturalist,1,1.0,0.0,0.6723,0.9347,0.0,0.1466,0.2263,0.6478,0.0534,123349,0.9653,no,no,no,no,0,ok
Chaetodon_argentatus_iNaturalist_59002230.jpg,Chaetodon argentatus,images_inaturalist,1,1.0,0.0,0.5441,0.8902,0.0,0.0789,0.2263,0.3487,0.0905,61880,0.9157,no,no,no,no,0,ok
Chaetodon_argentatus_iNaturalist_605150779.jpg,Chaetodon argentatus,images_inaturalist,1,1.0,0.0,0.3986,0.7826,0.0007,0.1899,0.2263,0.8392,0.2043,190877,0.9656,no,no,no,no,0,ok
Chaetodon_argentatus_iNaturalist_83513611.jpg,Chaetodon argentatus,images_inaturalist,1,1.0,0.0,0.6485,0.9418,0.0,0.1753,0.2263,0.7746,0.0743,131302,0.9796,no,no,no,no,0,ok
Chaetodon_argentatus_iNaturalist_83513716.jpg,Chaetodon argentatus,images_inaturalist,1,1.0,0.0,0.6553,0.9574,0.0,0.4403,0.2263,1.9456,0.0854,321619,0.9468,no,no,no,no,0,ok
Chaetodon_assarius_FishBase_Chass_u0.jpg,Chaetodon assarius,images,1,1.0,0.0,0.4658,0.8955,0.0,0.4335,0.0995,4.3568,0.0752,148189,0.8823,no,no,no,no,0,ok
Chaetodon_assarius_iNaturalist_151182609.jpg,Chaetodon assarius,images_inaturalist,1,1.0,0.0,1.0204,0.9789,0.0,0.0716,0.0995,0.7196,0.0634,57558,0.9737,no,no,no,no,0,ok
Chaetodon_assarius_iNaturalist_176862632.jpg,Chaetodon assarius,images_inaturalist,1,1.0,0.0,0.9019,0.9511,0.0,0.0815,0.0995,0.8191,0.1036,67386,0.984,no,no,no,no,0,ok
Chaetodon_assarius_iNaturalist_258921023.jpg,Chaetodon assarius,images_inaturalist,1,1.0,0.0,0.784,0.9508,0.0,0.0995,0.0995,1.0,0.0406,14309,1,no,no,no,no,0,ok
Chaetodon_assarius_iNaturalist_291017904.jpg,Chaetodon assarius,images_inaturalist,1,1.0,0.0,0.6942,0.9622,0.0,0.1482,0.0995,1.4894,0.0471,90860,0.9681,no,no,no,no,0,ok
