species,pic_id,original_filename,local_filename,url,family,in_miyazawa,download_status,file_size
Chaetodon declivis,85087,85087AF.jpg,Chaetodon_declivis_FishPix_85087.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85087AF.jpg,Chaetodontidae,no,success,80820
Chaetodon decussatus,85088,85088AF.jpg,Chaetodon_decussatus_FishPix_85088.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85088AF.jpg,Chaetodontidae,no,success,50023
Unknown,85089,85089AF.jpg,Unknown_FishPix_85089.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85089AF.jpg,Chaetodontidae,no,success,72649
Chaetodon fremblii,85090,85090AF.jpg,Chaetodon_fremblii_FishPix_85090.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85090AF.jpg,Chaetodontidae,yes,success,58562
Chaetodon fremblii,85091,85091AF.jpg,Chaetodon_fremblii_FishPix_85091.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85091AF.jpg,Chaetodontidae,no,success,61638
Chaetodon larvatus,85092,85092AF.jpg,Chaetodon_larvatus_FishPix_85092.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85092AF.jpg,Chaetodontidae,yes,success,72317
Unknown,85093,85093AF.jpg,Unknown_FishPix_85093.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85093AF.jpg,Chaetodontidae,no,success,89084
Chaetodon mertensii,85094,85094AF.jpg,Chaetodon_mertensii_FishPix_85094.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85094AF.jpg,Chaetodontidae,no,success,74338
Chaetodon miliaris,85095,85095AF.jpg,Chaetodon_miliaris_FishPix_85095.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85095AF.jpg,Chaetodontidae,no,success,56103
Chaetodon mitratus,85096,85096AF.jpg,Chaetodon_mitratus_FishPix_85096.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85096AF.jpg,Chaetodontidae,no,success,35950
Chaetodon mitratus,85097,85097AF.jpg,Chaetodon_mitratus_FishPix_85097.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85097AF.jpg,Chaetodontidae,yes,success,69953
Chaetodon octofasciatus,85098,85098AF.jpg,Chaetodon_octofasciatus_FishPix_85098.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85098AF.jpg,Chaetodontidae,no,success,86500
Chaetodon paucifasciatus,85099,85099AF.jpg,Chaetodon_paucifasciatus_FishPix_85099.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85099AF.jpg,Chaetodontidae,no,success,74612
Chaetodon quadrimaculatus,85100,85100AF.jpg,Chaetodon_quadrimaculatus_FishPix_85100.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85100AF.jpg,Chaetodontidae,no,success,73441
Chaetodon quadrimaculatus,85101,85101AF.jpg,Chaetodon_quadrimaculatus_FishPix_85101.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85101AF.jpg,Chaetodontidae,no,success,83265
Chaetodon selene,85102,85102AF.jpg,Chaetodon_selene_FishPix_85102.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85102AF.jpg,Chaetodontidae,no,success,60127
Chaetodon semeion,85103,85103AF.jpg,Chaetodon_semeion_FishPix_85103.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85103AF.jpg,Chaetodontidae,no,success,64932
Chaetodon semeion,85104,85104AF.jpg,Chaetodon_semeion_FishPix_85104.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85104AF.jpg,Chaetodontidae,no,success,42250
Chaetodon semeion,85105,85105AF.jpg,Chaetodon_semeion_FishPix_85105.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85105AF.jpg,Chaetodontidae,no,success,57273
Chaetodon smithi,85106,85106AF.jpg,Chaetodon_smithi_FishPix_85106.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85106AF.jpg,Chaetodontidae,no,success,63530
Chaetodon striatus,85107,85107AF.jpg,Chaetodon_striatus_FishPix_85107.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85107AF.jpg,Chaetodontidae,no,success,93958
Chaetodon tinkeri,85108,85108AF.jpg,Chaetodon_tinkeri_FishPix_85108.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85108AF.jpg,Chaetodontidae,yes,success,58300
Chaetodon unimaculatus,85109,85109AF.jpg,Chaetodon_unimaculatus_FishPix_85109.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85109AF.jpg,Chaetodontidae,no,success,54844
Chaetodon wiebeli,85110,85110AF.jpg,Chaetodon_wiebeli_FishPix_85110.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85110AF.jpg,Chaetodontidae,no,success,44878
Chaetodon ephippium,8514,8514AF.jpg,Chaetodon_ephippium_FishPix_8514.jpg,https://fishpix.kahaku.go.jp/photos/NR0008/8514AF.jpg,Chaetodontidae,no,success,16384
Unknown,85148,85148AF.jpg,Unknown_FishPix_85148.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85148AF.jpg,Chaetodontidae,no,success,63670
Unknown,85183,85183AF.jpg,Unknown_FishPix_85183.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85183AF.jpg,Chaetodontidae,no,success,46838
Unknown,85184,85184AF.jpg,Unknown_FishPix_85184.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85184AF.jpg,Chaetodontidae,no,success,59618
Chaetodon flavocoronatus,85202,85202AF.jpg,Chaetodon_flavocoronatus_FishPix_85202.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85202AF.jpg,Chaetodontidae,no,success,25978
Chaetodon flavocoronatus,85203,85203AF.jpg,Chaetodon_flavocoronatus_FishPix_85203.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85203AF.jpg,Chaetodontidae,no,success,29758
Chaetodon baronessa,85262,85262AF.jpg,Chaetodon_baronessa_FishPix_85262.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85262AF.jpg,Chaetodontidae,no,success,56899
Unknown,85293,85293AF.jpg,Unknown_FishPix_85293.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85293AF.jpg,Chaetodontidae,no,success,46774
Heniochus diphreutes,85315,85315AF.jpg,Heniochus_diphreutes_FishPix_85315.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85315AF.jpg,Chaetodontidae,no,success,29978
Heniochus diphreutes,85541,85541AF.jpg,Heniochus_diphreutes_FishPix_85541.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85541AF.jpg,Chaetodontidae,no,success,40501
Heniochus diphreutes,85542,85542AF.jpg,Heniochus_diphreutes_FishPix_85542.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85542AF.jpg,Chaetodontidae,no,success,30954
Heniochus diphreutes,85549,85549AF.jpg,Heniochus_diphreutes_FishPix_85549.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85549AF.jpg,Chaetodontidae,no,success,37347
Chaetodon auriga,85553,85553AF.jpg,Chaetodon_auriga_FishPix_85553.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85553AF.jpg,Chaetodontidae,no,success,47018
Heniochus diphreutes,85557,85557AF.jpg,Heniochus_diphreutes_FishPix_85557.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85557AF.jpg,Chaetodontidae,no,success,13972
Chaetodon auriga,85562,85562AF.jpg,Chaetodon_auriga_FishPix_85562.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85562AF.jpg,Chaetodontidae,no,success,25136
Chaetodon kleinii,85570,85570AF.jpg,Chaetodon_kleinii_FishPix_85570.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85570AF.jpg,Chaetodontidae,no,success,11951
Heniochus diphreutes,85578,85578AF.jpg,Heniochus_diphreutes_FishPix_85578.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85578AF.jpg,Chaetodontidae,no,success,17902
