species,filename,source,image_url,locality,in_tree,download_success
Chaetodon lunula,Chaetodon_lunula_Bishop_2036473160.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/2036473160.jpg,Australia; Lord Howe Island,yes,yes
Chaetodon lunula,Chaetodon_lunula_Bishop_-530805309.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-530805309.jpg,French Polynesia; Bora Bora,yes,yes
Chaetodon lunula,Chaetodon_lunula_Bishop_1720571305.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1720571305.jpg,Johnston Island,yes,yes
Chaetodon lunula,Chaetodon_lunula_Bishop_543936522.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/543936522.jpg,Tahiti; Tahiti,yes,yes
Chaetodon lunulatus,Chaetodon_lunulatus_Bishop_1378116790.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1378116790.jpg,Fiji Islands; Fiji,yes,yes
Chaetodon lunulatus,Chaetodon_lunulatus_Bishop_1113667583.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1113667583.jpg,Tahiti; Teavaraa Pass,yes,yes
Chaetodon madagaskariensis,Chaetodon_madagaskariensis_Bishop_1210446292.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1210446292.jpg,Kenya; Watamu,yes,yes
Chaetodon marleyi,Chaetodon_marleyi_Bishop_384825925.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/384825925.jpg,South Africa; Natal; Durban,no,yes
Chaetodon melannotus,Chaetodon_melannotus_Bishop_403079329.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/403079329.jpg,Guam; Guam,yes,yes
Chaetodon melannotus,Chaetodon_melannotus_Bishop_-1126507013.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1126507013.jpg,Maldives; Villingili,yes,yes
Chaetodon melannotus,Chaetodon_melannotus_Bishop_-1381464288.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1381464288.jpg,Sudan; Port Sudan,yes,yes
Chaetodon melannotus,Chaetodon_melannotus_Bishop_-1689715678.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1689715678.jpg,Australia; Great Barrier Reef; One Tree Island,yes,yes
Chaetodon melapterus,Chaetodon_melapterus_Bishop_690928567.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/690928567.jpg,Bahrain; Bahrain,yes,yes
Chaetodon melapterus,Chaetodon_melapterus_Bishop_-738901426.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-738901426.jpg,Bahrain,yes,yes
Chaetodon mertensii,Chaetodon_mertensii_Bishop_-727881428.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-727881428.jpg,Maldives; Villingili,yes,yes
Chaetodon mertensii,Chaetodon_mertensii_Bishop_2125964090.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/2125964090.jpg,Easter Island; Motu Iti,yes,yes
Chaetodon mertensii,Chaetodon_mertensii_Bishop_992543933.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/992543933.jpg,Australia; Lord Howe Island,yes,yes
Chaetodon mertensii,Chaetodon_mertensii_Bishop_1869466931.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1869466931.jpg,Marshall Islands; Enewetak,yes,yes
Chaetodon mesoleucos,Chaetodon_mesoleucos_Bishop_-899095560.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-899095560.jpg,Sudan; Red Sea; Port Sudan,yes,yes
Chaetodon meyeri,Chaetodon_meyeri_Bishop_-146742631.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-146742631.jpg,Palau,yes,yes
Chaetodon miliaris,Chaetodon_miliaris_Bishop_1720766063.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1720766063.jpg,Hawaii (USA); Oahu; Kaneohe Bay,yes,yes
Chaetodon miliaris,Chaetodon_miliaris_Bishop_725437158.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/725437158.jpg,Hawaii (USA); Kona,yes,yes
Chaetodon mitratus,Chaetodon_mitratus_Bishop_-777256060.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-777256060.jpg,Mauritius; Recife Rouge,yes,yes
Chaetodon modestus,Chaetodon_modestus_Bishop_316109402.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/316109402.jpg,Hawaii (USA); Oahu,no,yes
Chaetodon multicinctus,Chaetodon_multicinctus_Bishop_-1285212619.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1285212619.jpg,Hawaii (USA); Oahu; Waianae,yes,yes
Chaetodon multicinctus,Chaetodon_multicinctus_Bishop_-1145166510.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1145166510.jpg,Hawaii (USA); Oahu; Kahe Pt.,yes,yes
Chaetodon nigropunctatus,Chaetodon_nigropunctatus_Bishop_276052843.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/276052843.jpg,Oman; Mutrah,yes,yes
Chaetodon nigropunctatus,Chaetodon_nigropunctatus_Bishop_1435538384.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1435538384.jpg,Bahrain; Bahrain,yes,yes
