species,fishwise_file,fishwise_id,best_bishop,best_ncc
Coradion melanopus,Coradion_melanopus_FishWise_043349F000024W000005.jpg,043349F000024W000005,Coradion_melanopus_Bishop_-1537131019.jpg,0.135
Forcipiger flavissimus,Forcipiger_flavissimus_FishWise_023887F000024W000002.jpg,023887F000024W000002,Forcipiger_flavissimus_Bishop_-1224605166.jpg,0.719
Hemitaurichthys polylepis,Hemitaurichthys_polylepis_FishWise_056345F000024W000001.jpg,056345F000024W000001,Hemitaurichthys_polylepis_Bishop_224753564.jpg,0.728
Hemitaurichthys zoster,Hemitaurichthys_zoster_FishWise_075707F000024W000004.jpg,075707F000024W000004,,0
Heniochus acuminatus,Heniochus_acuminatus_FishWise_000442F000024W000003.jpg,000442F000024W000003,Heniochus_acuminatus_Bishop_1817843498.jpg,0.348
Heniochus chrysostomus,Heniochus_chrysostomus_FishWise_014849F000024W000002.jpg,014849F000024W000002,Heniochus_chrysostomus_Bishop_1854375753.jpg,0.022
Heniochus diphreutes,Heniochus_diphreutes_FishWise_019404F000024W000002.jpg,019404F000024W000002,Heniochus_diphreutes_Bishop_1453219286.jpg,0.288
Heniochus intermedius,Heniochus_intermedius_FishWise_031956F000024W000001.jpg,031956F000024W000001,Heniochus_intermedius_Bishop_-20578450.jpg,0.521
Heniochus monoceros,Heniochus_monoceros_FishWise_045840F000024W000002.jpg,045840F000024W000002,Heniochus_monoceros_Bishop_-980348940.jpg,0.353
Heniochus pleurotaenia,Heniochus_pleurotaenia_FishWise_055941F000024W000002.jpg,055941F000024W000002,Heniochus_pleurotaenia_Bishop_-1006778558.jpg,0.201
Heniochus singularius,Heniochus_singularius_FishWise_064983F000024W000001.jpg,064983F000024W000001,Heniochus_singularius_Bishop_2065781403.jpg,0.072
Heniochus varius,Heniochus_varius_FishWise_072587F000024W000002.jpg,072587F000024W000002,Heniochus_varius_Bishop_2014348865.jpg,0.068
Parachaetodon ocellatus,Parachaetodon_ocellatus_FishWise_050474F000024W000002.jpg,050474F000024W000002,Parachaetodon_ocellatus_Bishop_-154342580.jpg,0.679
